Fichero pcap;SIDs;RSx;TP;TP_LEGITIMO
T0848-RogueMaster-IEC-104_[2].pcapng;41051;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41052;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41054;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41055;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41058;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41061;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41070;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41071;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41074;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41075;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41078;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41079;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;52150;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;52151;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;52152;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;52155;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;52185;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;52189;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;52191;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;52192;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;52193;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;1917;3;0;0
T0848-RogueMaster-IEC-104_[2].pcapng;2046160;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;2046161;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;2046165;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;2046164;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;2046158;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;2046159;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;2046162;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;2046163;3;1;1
T0848-RogueMaster-DNP3-FIXED_[1].pcapng;1917;3;0;0
T0858-ChangeOPMode-Omron_[2].pcapng;15398;3;1;1
T0858-ChangeOPMode-Omron_[2].pcapng;15399;3;1;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;1917;3;0;0
T0890-EscalPrivileges-NetLogon_[2].pcapng;24301;3;0;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;51037;3;0;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;55703;3;1;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;55704;3;1;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;55802;3;1;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;57280;3;1;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;2027397;3;0;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;2030870;3;1;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;2030871;3;1;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;2035260;3;1;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;2001581;3;1;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;2035262;3;1;1
T0846-DiscoveryNmap-S7_[1].pcapng;2027397;3;0;1
T0846-DiscoveryNmap-Modbus_[1].pcapng;15071;3;1;1
T0846-DiscoveryNmap-Modbus_[1].pcapng;17798;3;1;1
T0846-DiscoveryNmap-Modbus_[1].pcapng;17799;3;1;1
T0846-DiscoverMetasp-Modbus_[1].pcapng;15071;3;1;1
T0846-DiscoverMetasp-Modbus_[1].pcapng;17789;3;1;1
T0888-DiscverFindID-Modbus_[1].pcapng / T0888-DiscverCoils-Modbus_[1].pcapng / T0888-DiscverRegisters-Modbus_[1].pcapng / T0888-DiscverRegisters2-Modbus_[1].pcapng;17788;3;1;1
T0888-DiscverFindID-Modbus_[1].pcapng / T0888-DiscverCoils-Modbus_[1].pcapng / T0888-DiscverRegisters-Modbus_[1].pcapng / T0888-DiscverRegisters2-Modbus_[1].pcapng;15071;3;1;1
T0888-DiscverFindID-Modbus_[1].pcapng / T0888-DiscverCoils-Modbus_[1].pcapng / T0888-DiscverRegisters-Modbus_[1].pcapng / T0888-DiscverRegisters2-Modbus_[1].pcapng;17789;3;1;1
T0888-DiscverFindID-Modbus_[1].pcapng / T0888-DiscverCoils-Modbus_[1].pcapng / T0888-DiscverRegisters-Modbus_[1].pcapng / T0888-DiscverRegisters2-Modbus_[1].pcapng;17790;3;1;1
T0888-DiscoverInfo-DNP3_[1].pcapng;1917;3;0;0
T0846-Discovery-BacNet_[2].pcap ;2027397;3;0;1
T0846-Discovery-IEC104_[2].pcapng;1917;3;0;0
T0846-Discovery-IEC104_[2].pcapng;41048;3;1;1
T0846-Discovery-IEC104_[2].pcapng;41052;3;1;1
T0846-Discovery-IEC104_[2].pcapng;41055;3;1;1
T0846-Discovery-IEC104_[2].pcapng;41058;3;1;1
T0846-Discovery-IEC104_[2].pcapng;41070;3;1;1
T0846-Discovery-IEC104_[2].pcapng;52150;3;1;1
T0846-Discovery-IEC104_[2].pcapng;52185;3;1;1
T0846-Discovery-IEC104_[2].pcapng;52191;3;1;1
T0846-Discovery-IEC104_[2].pcapng;2027397;3;0;1
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;1390;3;0;1
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;1917;3;0;0
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;24378;3;1;1
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;29456;3;1;1
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;365;3;1;1
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;384;3;1;1
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;408;3;1;1
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;51065;3;1;1
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;51066;3;1;1
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;2018489;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;1917;3;0;0
T0843-ProgDownload-IEC104_[2].pcapng;41047;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41048;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41051;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41052;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41053;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41054;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41055;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41056;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41057;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41058;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41059;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41060;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41061;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41062;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41063;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41064;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41065;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41066;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41067;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41068;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41069;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41070;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41071;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41072;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41073;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41074;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41075;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41076;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41077;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41078;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;41079;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;52150;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;52151;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;52154;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;52155;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;52158;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;52187;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;52189;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;52191;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;52192;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;52195;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;52196;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;52198;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;52199;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;52200;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;52201;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;2046160;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;2046161;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;2046165;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;2046164;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;2046158;3;1;1
T0843-ProgDownload-IEC104_[2].pcapng;2046159;3;1;1
T0843-FileRead-DNP3-FIXED_[1].pcapng / T0843-FileWrite-DNP3-FIXED_[1].pcapng;1917;3;0;0
T0843-FileDownload-Modbus_[1].pcapng / T0843-FileUpload-Modbus_[1].pcapng;17790;3;1;1
T0843-FileDownload-Modbus_[1].pcapng / T0843-FileUpload-Modbus_[1].pcapng;17782;3;1;1
T0802-AutoCollect-OPCUA_[2].pcapng;1917;3;0;0
T0830-MITM-BacNet-FIXED_[2].pcapng;1384;3;0;1
T0830-MITM-BacNet-FIXED_[2].pcapng;1917;3;0;0
T0830-MITM-BacNet-FIXED_[2].pcapng;24301;3;0;1
T0830-MITM-BacNet-FIXED_[2].pcapng;51037;3;0;1
T0830-MITM-BacNet-FIXED_[2].pcapng;29456;3;1;1
T0830-MITM-BacNet-FIXED_[2].pcapng;384;3;1;1
T0830-MITM-BacNet-FIXED_[2].pcapng;408;3;1;1
T0802-AutoCollect-SNMP_[1].pcapng;1411;3;1;1
T0802-AutoCollect-SNMP_[1].pcapng;1417;3;1;1
T0802-AutoCollect-SNMP_[1].pcapng;2101411;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;1390;3;0;1
T0809-DataDestroy-OMRON_[2].pcapng;1394;3;0;1
T0809-DataDestroy-OMRON_[2].pcapng;15389;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;15390;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;15391;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;15392;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;15393;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;15394;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;15395;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;15396;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;15397;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;15398;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;15399;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;15400;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;15401;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;15402;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;15403;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;15404;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;15405;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;15406;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;15407;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;15408;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;15410;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;15411;3;1;1
T0809-DataDestroy-OMRON_[2].pcapng;15412;3;1;1
T0816-RestartAllenBradley-SNMP_[2].pcapng;39876;3;1;1
T0816-RestartAllenBradley-SNMP_[2].pcapng;39877;3;1;1
T0816-RestartAllenBradley-SNMP_[2].pcapng;402;3;0;1
T0816-RestartAllenBradley-SNMP_[2].pcapng;44663;3;0;1
T0816-RestartAllenBradley-SNMP_[2].pcapng;1417;3;1;1
T0814-DoS-PCC_[1].pcapng;402;3;0;1
T0814-DoS-PCC_[1].pcapng;2026917;3;1;1
T0816-ShtDownAllenBradley-CIP_[1].pcapng;402;3;0;1
T0816-ShtDownAllenBradley-CIP_[1].pcapng;40518;3;1;1
T0816-ShutDown-Modbus_[1].pcapng;17785;3;1;1
T0836-ModifyParam-OmronFINS_[2].pcapng;15389;3;1;1
T0836-ModifyParam-OmronFINS_[2].pcapng;15390;3;1;1
T0836-ModifyParam-OmronFINS_[2].pcapng;15391;3;1;1
T0836-ModifParam-Modbus_[1].pcapng;17783;3;1;1
T0836-ModifParam-S7_[1].pcapng;2027397;3;0;1
T0885-C&Cp502RWin-TCP_[1].pcapng / T0885-C&Cp502RWin-TCP-2_[1].pcapng / T0885-C&Cp502RWin-TCP-3_[1].pcapng;15071;3;1;1
T0885-C&Cp502RWin-TCP_[1].pcapng / T0885-C&Cp502RWin-TCP-2_[1].pcapng / T0885-C&Cp502RWin-TCP-3_[1].pcapng;1917;3;0;0
T0885-C&Cp502RWin-TCP_[1].pcapng / T0885-C&Cp502RWin-TCP-2_[1].pcapng / T0885-C&Cp502RWin-TCP-3_[1].pcapng;18659;3;1;1
T0885-C&Cp502RWin-TCP_[1].pcapng / T0885-C&Cp502RWin-TCP-2_[1].pcapng / T0885-C&Cp502RWin-TCP-3_[1].pcapng;58160;3;1;1
T0885-C&Cp502RWin-TCP_[1].pcapng / T0885-C&Cp502RWin-TCP-2_[1].pcapng / T0885-C&Cp502RWin-TCP-3_[1].pcapng;2011976;3;1;1
T0885-C&Cp502RWin-TCP_[1].pcapng / T0885-C&Cp502RWin-TCP-2_[1].pcapng / T0885-C&Cp502RWin-TCP-3_[1].pcapng;2035480;3;1;1
T0885-C&Cp502RWin-TCP_[1].pcapng / T0885-C&Cp502RWin-TCP-2_[1].pcapng / T0885-C&Cp502RWin-TCP-3_[1].pcapng;2025644;3;1;1
T0885-C&Cp502Ignition-HTTP_[1].pcapng;15071;3;1;1
T0885-C&Cp502Ignition-HTTP_[1].pcapng;50447;3;1;1
T0885-C&Cp502Ignition-HTTP_[1].pcapng;1917;3;0;0
T0885-C&Cp502Ignition-HTTP_[1].pcapng;58160;3;1;1
T0885-C&Cp502Ignition-HTTP_[1].pcapng;2018358;3;1;1
T0885-C&Cp502Ignition-HTTP_[1].pcapng;2035480;3;1;1
T0885-C&Cp502Ignition-HTTP_[1].pcapng;2025644;3;1;1
T0885-C&Cp20000RWin-TCP_[1].pcapng;18659;3;1;1
