app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
msrpc-base	msrpc	23370	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23372	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23374	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23376	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23378	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23380	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23382	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23384	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23386	infrastructure	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23357	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23359	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23369	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23365	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23363	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23367	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23361	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23381	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23379	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23387	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23375	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23385	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23383	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23373	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23377	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23371	auth-service	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23388	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23390	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23392	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23394	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23396	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23398	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23400	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23402	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23410	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23408	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23406	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23404	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23354	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23352	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23350	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23348	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23346	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23344	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23342	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23340	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23338	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23336	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23334	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23332	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23330	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23328	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23326	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23324	infrastructure	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23311	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23313	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23309	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23315	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23317	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23319	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23321	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23323	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23303	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23293	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23301	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23305	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23299	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23307	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23295	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23297	auth-service	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23322	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23320	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23318	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23316	infrastructure	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23435	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23439	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23437	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23427	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23423	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23421	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23429	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23431	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23425	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23433	auth-service	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23438	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23436	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23434	infrastructure	2	tcp	192.168.1.135	192.168.1.200
